claim_id,instance_id,l1_regime,shots,sim_seed,noise_regime,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
COMB-C3,er_n10_p0.2_seed4,default-low,1024,1,depol-medium,0.05,4.806640625,4.6591796875,-0.1474609375,0
COMB-C1,er_n10_p0.2_seed4,default-low,1024,1,depol-high,0.0,4.8134765625,4.759765625,-0.0537109375,0
COMB-C2,er_n10_p0.2_seed4,default-low,1024,1,depol-high,0.01,4.8134765625,4.759765625,-0.0537109375,0
COMB-C3,er_n10_p0.2_seed4,default-low,1024,1,depol-high,0.05,4.8134765625,4.759765625,-0.0537109375,0
COMB-C1,er_n10_p0.2_seed4,default-low,1024,2,ideal,0.0,4.8681640625,4.634765625,-0.2333984375,0
COMB-C2,er_n10_p0.2_seed4,default-low,1024,2,ideal,0.01,4.8681640625,4.634765625,-0.2333984375,0
COMB-C3,er_n10_p0.2_seed4,default-low,1024,2,ideal,0.05,4.8681640625,4.634765625,-0.2333984375,0
COMB-C1,er_n10_p0.2_seed4,default-low,1024,2,depol-medium,0.0,4.8056640625,4.6591796875,-0.146484375,0
COMB-C2,er_n10_p0.2_seed4,default-low,1024,2,depol-medium,0.01,4.8056640625,4.6591796875,-0.146484375,0
COMB-C3,er_n10_p0.2_seed4,default-low,1024,2,depol-medium,0.05,4.8056640625,4.6591796875,-0.146484375,0
COMB-C1,er_n10_p0.2_seed4,default-low,1024,2,depol-high,0.0,4.810546875,4.7587890625,-0.0517578125,0
COMB-C2,er_n10_p0.2_seed4,default-low,1024,2,depol-high,0.01,4.810546875,4.7587890625,-0.0517578125,0
COMB-C3,er_n10_p0.2_seed4,default-low,1024,2,depol-high,0.05,4.810546875,4.7587890625,-0.0517578125,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,512,0,ideal,0.0,4.873046875,4.732421875,-0.140625,0
COMB-C2,er_n10_p0.2_seed4,sabre-mid,512,0,ideal,0.01,4.873046875,4.732421875,-0.140625,0
COMB-C3,er_n10_p0.2_seed4,sabre-mid,512,0,ideal,0.05,4.873046875,4.732421875,-0.140625,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,512,0,depol-medium,0.0,4.91015625,4.703125,-0.20703125,0
COMB-C2,er_n10_p0.2_seed4,sabre-mid,512,0,depol-medium,0.01,4.91015625,4.703125,-0.20703125,0
COMB-C3,er_n10_p0.2_seed4,sabre-mid,512,0,depol-medium,0.05,4.91015625,4.703125,-0.20703125,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,512,0,depol-high,0.0,4.93359375,4.75390625,-0.1796875,0
COMB-C2,er_n10_p0.2_seed4,sabre-mid,512,0,depol-high,0.01,4.93359375,4.75390625,-0.1796875,0
COMB-C3,er_n10_p0.2_seed4,sabre-mid,512,0,depol-high,0.05,4.93359375,4.75390625,-0.1796875,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,512,1,ideal,0.0,4.955078125,4.72265625,-0.232421875,0
COMB-C2,er_n10_p0.2_seed4,sabre-mid,512,1,ideal,0.01,4.955078125,4.72265625,-0.232421875,0
COMB-C3,er_n10_p0.2_seed4,sabre-mid,512,1,ideal,0.05,4.955078125,4.72265625,-0.232421875,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,512,1,depol-medium,0.0,4.9140625,4.705078125,-0.208984375,0
COMB-C2,er_n10_p0.2_seed4,sabre-mid,512,1,depol-medium,0.01,4.9140625,4.705078125,-0.208984375,0
COMB-C3,er_n10_p0.2_seed4,sabre-mid,512,1,depol-medium,0.05,4.9140625,4.705078125,-0.208984375,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,512,1,depol-high,0.0,4.9375,4.755859375,-0.181640625,0
COMB-C2,er_n10_p0.2_seed4,sabre-mid,512,1,depol-high,0.01,4.9375,4.755859375,-0.181640625,0
COMB-C3,er_n10_p0.2_seed4,sabre-mid,512,1,depol-high,0.05,4.9375,4.755859375,-0.181640625,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,512,2,ideal,0.0,4.71484375,4.53125,-0.18359375,0
COMB-C2,er_n10_p0.2_seed4,sabre-mid,512,2,ideal,0.01,4.71484375,4.53125,-0.18359375,0
COMB-C3,er_n10_p0.2_seed4,sabre-mid,512,2,ideal,0.05,4.71484375,4.53125,-0.18359375,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,512,2,depol-medium,0.0,4.912109375,4.69921875,-0.212890625,0
COMB-C2,er_n10_p0.2_seed4,sabre-mid,512,2,depol-medium,0.01,4.912109375,4.69921875,-0.212890625,0
COMB-C3,er_n10_p0.2_seed4,sabre-mid,512,2,depol-medium,0.05,4.912109375,4.69921875,-0.212890625,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,512,2,depol-high,0.0,4.935546875,4.75,-0.185546875,0
COMB-C2,er_n10_p0.2_seed4,sabre-mid,512,2,depol-high,0.01,4.935546875,4.75,-0.185546875,0
COMB-C3,er_n10_p0.2_seed4,sabre-mid,512,2,depol-high,0.05,4.935546875,4.75,-0.185546875,0
COMB-C1,er_n10_p0.2_seed4,sabre-mid,1024,0,ideal,0.0,4.8095703125,4.712890625,-0.0966796875,0
