claim_id,instance_id,optimizer,init_seed,delta,p1_best_expected_cut,p2_best_expected_cut,p1_n_evals,p2_n_evals,margin,preserves_direction
ALGO-C3,er_n8_p0.2_seed1,Nelder-Mead,7,0.05,5.150750218185877,5.387571535696751,57,50,0.23682131751087443,1
ALGO-C1,er_n8_p0.2_seed1,Nelder-Mead,8,0.0,5.150763690580504,4.353824320009935,59,56,-0.796939370570569,0
ALGO-C2,er_n8_p0.2_seed1,Nelder-Mead,8,0.01,5.150763690580504,4.353824320009935,59,56,-0.796939370570569,0
ALGO-C3,er_n8_p0.2_seed1,Nelder-Mead,8,0.05,5.150763690580504,4.353824320009935,59,56,-0.796939370570569,0
ALGO-C1,er_n8_p0.2_seed1,Nelder-Mead,9,0.0,5.150761880773513,5.73042788952356,59,54,0.5796660087500474,1
ALGO-C2,er_n8_p0.2_seed1,Nelder-Mead,9,0.01,5.150761880773513,5.73042788952356,59,54,0.5796660087500474,1
ALGO-C3,er_n8_p0.2_seed1,Nelder-Mead,9,0.05,5.150761880773513,5.73042788952356,59,54,0.5796660087500474,1
ALGO-C1,er_n8_p0.2_seed1,Powell,0,0.0,5.150764835250656,5.2378169412437785,66,205,0.08705210599312263,1
ALGO-C2,er_n8_p0.2_seed1,Powell,0,0.01,5.150764835250656,5.2378169412437785,66,205,0.08705210599312263,1
ALGO-C3,er_n8_p0.2_seed1,Powell,0,0.05,5.150764835250656,5.2378169412437785,66,205,0.08705210599312263,1
ALGO-C1,er_n8_p0.2_seed1,Powell,1,0.0,5.150764835349709,5.734142551517496,68,126,0.5833777161677869,1
ALGO-C2,er_n8_p0.2_seed1,Powell,1,0.01,5.150764835349709,5.734142551517496,68,126,0.5833777161677869,1
ALGO-C3,er_n8_p0.2_seed1,Powell,1,0.05,5.150764835349709,5.734142551517496,68,126,0.5833777161677869,1
ALGO-C1,er_n8_p0.2_seed1,Powell,2,0.0,5.150764835210907,5.152889884610474,70,124,0.002125049399566592,1
ALGO-C2,er_n8_p0.2_seed1,Powell,2,0.01,5.150764835210907,5.152889884610474,70,124,0.002125049399566592,0
ALGO-C3,er_n8_p0.2_seed1,Powell,2,0.05,5.150764835210907,5.152889884610474,70,124,0.002125049399566592,0
ALGO-C1,er_n8_p0.2_seed1,Powell,3,0.0,5.150764699617815,5.152655733270026,62,124,0.001891033652211327,1
ALGO-C2,er_n8_p0.2_seed1,Powell,3,0.01,5.150764699617815,5.152655733270026,62,124,0.001891033652211327,0
